新指标ID,数据层级,对象类型,数据指标,旧指标ID,业务定义,录入说明,录入方式,关联指标ID,来源Sheet,当前身份证位置,是否有待确认项,待确认-数据来源,待确认-业务口径,待确认-计算规则,待确认-统计范围
L2-016,L2,汇总/一次派生指标,家学学员营收,M-058,“家学学员”学员产生的营收合计。,当前未录入，未设置公式,待确认,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从订单明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,当前未录入，也未设置汇总公式。,
L3-023,L3,复合业务指标,家学学员LTV,M-059,“家学学员”平均每名学员对应的营收。,当前未录入，未设置公式,待确认,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从订单明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,当前未设置公式；需确认是否按家学学员营收÷家学学员人数计算。,
L1-025,L1,原始字段,焦妈未进阶学员人数原始明细记录,新增原始字段,用于形成“焦妈未进阶学员人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：飞书_分组日更原始D1焦妈未进阶人数231，与BK4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据,由L2-017的上游来源抽取,有,,,,确认D1快照是否作为全营期基准人数。
L2-017,L2,汇总/一次派生指标,焦妈未进阶学员人数,M-060,属于“焦妈未进阶学员”分组的学员人数。,来源汇总：飞书_分组日更原始D1焦妈未进阶人数231，与BK4完全一致。,原始汇总,L1-025 焦妈未进阶学员人数原始明细记录,营期整体数据,原Sheet下方横向身份证,有,,,,确认D1快照是否作为全营期基准人数。
L3-024,L3,复合业务指标,焦妈未进阶学员占比,M-061,“焦妈未进阶学员”人数占班级总配额的比例。,焦妈未进阶学员人数 ÷ 班级总配额（BK4 ÷ X4）,公式计算,L2-017 焦妈未进阶学员人数；L2-006 班级总配额,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-026,L1,原始指标,焦妈未进阶学员进阶人数,M-062,“焦妈未进阶学员”中购买进阶产品的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,
L3-025,L3,复合业务指标,焦妈未进阶学员进阶率,M-063,“焦妈未进阶学员”进阶人数占该分组人数的比例。,焦妈未进阶学员进阶人数 ÷ 焦妈未进阶学员人数（BM4 ÷ BK4）,公式计算,L1-026 焦妈未进阶学员进阶人数；L2-017 焦妈未进阶学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-027,L1,原始指标,焦妈未进阶学员测评人数,M-064,“焦妈未进阶学员”中完成测评的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L3-026,L3,复合业务指标,焦妈未进阶学员测评率,M-065,“焦妈未进阶学员”测评人数占该分组人数的比例。,焦妈未进阶学员测评人数 ÷ 焦妈未进阶学员人数（BO4 ÷ BK4）,公式计算,L1-027 焦妈未进阶学员测评人数；L2-017 焦妈未进阶学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L1-028,L1,原始指标,焦妈未进阶学员测评中进阶人数,M-066,“焦妈未进阶学员”中完成测评并进阶的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L3-027,L3,复合业务指标,焦妈未进阶学员测评学员进阶率,M-067,“焦妈未进阶学员”测评中进阶人数占该分组测评人数的比例。,焦妈未进阶学员测评中进阶人数 ÷ 焦妈未进阶学员测评人数（BQ4 ÷ BO4）,公式计算,L1-028 焦妈未进阶学员测评中进阶人数；L1-027 焦妈未进阶学员测评人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L1-029,L1,原始指标,焦妈未进阶学员订金人数,M-068,“焦妈未进阶学员”中支付进阶订金的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L3-028,L3,复合业务指标,焦妈未进阶学员订金率,M-069,“焦妈未进阶学员”订金人数占该分组人数的比例。,焦妈未进阶学员订金人数 ÷ 焦妈未进阶学员人数（BS4 ÷ BK4）,公式计算,L1-029 焦妈未进阶学员订金人数；L2-017 焦妈未进阶学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L1-030,L1,原始指标,焦妈未进阶学员补款人数,M-070,“焦妈未进阶学员”中完成进阶补款的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L3-029,L3,复合业务指标,焦妈未进阶学员补款率,M-071,“焦妈未进阶学员”补款人数占该分组订金人数的比例。,焦妈未进阶学员补款人数 ÷ 焦妈未进阶学员订金人数（BU4 ÷ BS4）,公式计算,L1-030 焦妈未进阶学员补款人数；L1-029 焦妈未进阶学员订金人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L1-031,L1,原始指标,焦妈未进阶学员满分人数,M-072,“焦妈未进阶学员”中达到满分标准的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,
L3-030,L3,复合业务指标,焦妈未进阶学员满分率,M-073,“焦妈未进阶学员”满分人数占该分组人数的比例。,焦妈未进阶学员满分人数 ÷ 焦妈未进阶学员人数（BW4 ÷ BK4）,公式计算,L1-031 焦妈未进阶学员满分人数；L2-017 焦妈未进阶学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,,
L2-018,L2,汇总/一次派生指标,焦妈未进阶学员营收,M-074,“焦妈未进阶学员”学员产生的营收合计。,当前未录入，未设置公式,待确认,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从订单明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,当前未录入，也未设置汇总公式。,
L3-031,L3,复合业务指标,焦妈未进阶学员LTV,M-075,“焦妈未进阶学员”平均每名学员对应的营收。,当前未录入，未设置公式,待确认,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从订单明细按“焦妈未进阶学员”标签自动汇总。,确认“焦妈未进阶学员”的识别规则，以及与其他学员分组是否互斥。,当前未设置公式；需确认是否按焦妈未进阶学员营收÷该分组人数计算。,
L1-032,L1,原始字段,全新学员人数原始明细记录,新增原始字段,用于形成“全新学员人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：飞书_分组日更原始D1全新学员人数467，与CA4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据,由L2-019的上游来源抽取,有,,,,确认D1快照是否作为全营期基准人数。
